2016-07-01 16:18:08,427 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring-aop/4.3.0.RELEASE/spring-aop-4.3.0.RELEASE.pom
2016-07-01 16:18:08,750 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/spring-beans/4.3.0.RELEASE/spring-beans-4.3.0.RELEASE.pom
2016-07-01 16:18:09,100 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring-beans/4.3.0.RELEASE/spring-beans-4.3.0.RELEASE.pom
2016-07-01 16:18:09,486 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/spring-core/4.3.0.RELEASE/spring-core-4.3.0.RELEASE.pom
2016-07-01 16:18:09,815 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring-core/4.3.0.RELEASE/spring-core-4.3.0.RELEASE.pom
2016-07-01 16:18:10,134 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/commons-logging/commons-logging/1.2/commons-logging-1.2.pom
2016-07-01 16:18:10,792 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/commons-logging/commons-logging/1.2/commons-logging-1.2.pom
2016-07-01 16:18:11,139 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/commons/commons-parent/34/commons-parent-34.pom
2016-07-01 16:18:11,758 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/commons/commons-parent/34/commons-parent-34.pom
2016-07-01 16:18:12,096 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/spring-expression/4.3.0.RELEASE/spring-expression-4.3.0.RELEASE.pom
2016-07-01 16:18:12,441 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring-expression/4.3.0.RELEASE/spring-expression-4.3.0.RELEASE.pom
2016-07-01 16:18:12,778 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/spring-context/4.3.0.RELEASE/spring-context-4.3.0.RELEASE.jar
2016-07-01 16:18:15,146 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring-context/4.3.0.RELEASE/spring-context-4.3.0.RELEASE.jar
2016-07-01 16:18:15,470 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/spring-aop/4.3.0.RELEASE/spring-aop-4.3.0.RELEASE.jar
2016-07-01 16:18:16,799 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring-aop/4.3.0.RELEASE/spring-aop-4.3.0.RELEASE.jar
2016-07-01 16:18:17,105 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/spring-beans/4.3.0.RELEASE/spring-beans-4.3.0.RELEASE.jar
2016-07-01 16:18:21,397 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring-beans/4.3.0.RELEASE/spring-beans-4.3.0.RELEASE.jar
2016-07-01 16:18:21,700 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/spring-core/4.3.0.RELEASE/spring-core-4.3.0.RELEASE.jar
2016-07-01 16:18:33,063 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring-core/4.3.0.RELEASE/spring-core-4.3.0.RELEASE.jar
2016-07-01 16:18:33,369 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/commons-logging/commons-logging/1.2/commons-logging-1.2.jar
2016-07-01 16:18:34,681 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/commons-logging/commons-logging/1.2/commons-logging-1.2.jar
2016-07-01 16:18:35,289 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/spring-expression/4.3.0.RELEASE/spring-expression-4.3.0.RELEASE.jar
2016-07-01 16:18:39,596 [Worker-157] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring-expression/4.3.0.RELEASE/spring-expression-4.3.0.RELEASE.jar
2016-07-01 16:18:41,855 [Worker-159] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:18:41,859 [Worker-159] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\main\resources
2016-07-01 16:18:41,871 [Worker-159] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:18:41,874 [Worker-159] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\test\resources
2016-07-01 16:18:44,826 [Worker-154] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:18:44,828 [Worker-154] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\main\resources
2016-07-01 16:18:44,829 [Worker-154] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:18:44,831 [Worker-154] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\test\resources
2016-07-01 16:18:45,166 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-07-01 16:18:53,581 [Worker-159] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject
2016-07-01 16:18:53,582 [Worker-159] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2016-07-01 16:20:17,497 [Worker-156] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: SpringProject:SpringProject:0.0.1-SNAPSHOT @ C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\pom.xml.
2016-07-01 16:20:18,822 [Worker-156] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:20:18,823 [Worker-156] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\main\resources
2016-07-01 16:20:18,825 [Worker-156] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:20:18,826 [Worker-156] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\test\resources
2016-07-01 16:20:21,850 [Worker-157] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject
2016-07-01 16:20:21,851 [Worker-157] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2016-07-01 16:21:20,003 [Worker-157] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:21:20,006 [Worker-157] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\main\resources
2016-07-01 16:21:20,011 [Worker-157] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:21:20,015 [Worker-157] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\test\resources
2016-07-01 16:21:30,015 [Worker-157] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:21:30,018 [Worker-157] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\main\resources
2016-07-01 16:21:30,026 [Worker-157] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:21:30,029 [Worker-157] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\test\resources
2016-07-01 16:21:47,540 [Worker-148] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:21:47,549 [Worker-148] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\main\resources
2016-07-01 16:21:47,557 [Worker-148] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:21:47,563 [Worker-148] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\test\resources
2016-07-01 16:21:58,641 [Worker-156] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:21:58,645 [Worker-156] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\main\resources
2016-07-01 16:21:58,650 [Worker-156] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 16:21:58,653 [Worker-156] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chkiran\Google Drive\Acad Gild\Corporate\NewGen Content\WorsSpace\SpringProject\src\test\resources
2016-07-01 16:22:14,795 [Worker-157] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
